strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
1.780000000000000000e+02,8.000000000000000000e+00,4.592201188381077413e-04,1.108655439013543891e-03,5.570253037276108599e-02,7.056702333944565453e+01
1.790000000000000000e+02,8.000000000000000000e+00,3.105828541230248592e-04,1.159110991546881799e-03,5.573877308614106491e-02,7.055748764674534357e+01
1.800000000000000000e+02,8.000000000000000000e+00,1.566314306640620413e-04,1.189733833648572376e-03,5.577475778530348316e-02,7.054805782751091670e+01
1.810000000000000000e+02,8.000000000000000000e+00,7.347880794884118380e-20,1.199999999999999895e-03,5.578957836841996754e-02,7.054418325221014641e+01
1.820000000000000000e+02,8.000000000000000000e+00,-1.566314306640619058e-04,1.189733833648572376e-03,5.577471121513366548e-02,7.054807592484215206e+01
1.830000000000000000e+02,8.000000000000000000e+00,-3.105828541230247508e-04,1.159110991546881799e-03,5.573869480242211322e-02,7.055754019944131983e+01
1.840000000000000000e+02,8.000000000000000000e+00,-4.592201188381073618e-04,1.108655439013544108e-03,5.570244868601521848e-02,7.056709627397869156e+01
1.850000000000000000e+02,8.000000000000000000e+00,-5.999999999999997306e-04,1.039230484541326261e-03,5.568734470095894340e-02,7.057106306285344033e+01
1.860000000000000000e+02,8.000000000000000000e+00,-7.305137148104647428e-04,9.520240083494821209e-04,5.570237240860451827e-02,7.056704636040285550e+01
1.870000000000000000e+02,8.000000000000000000e+00,-8.485281374238568854e-04,8.485281374238569938e-04,5.573856163872119296e-02,7.055746493222557092e+01
