r_m,J_amplitude
9.373433583959899559e-04,1.359933056922109826e-05
9.398496240601503238e-04,1.359933056922109826e-05
9.423558897243108001e-04,1.359933056922109826e-05
9.448621553884711680e-04,1.359933056922109826e-05
9.473684210526315359e-04,1.359933056922109826e-05
9.498746867167919038e-04,1.359933056922109826e-05
9.523809523809523801e-04,1.359933056922109826e-05
9.548872180451127480e-04,1.359933056922109826e-05
9.573934837092731159e-04,1.359933056922109826e-05
9.598997493734335923e-04,1.359933056922109826e-05
9.624060150375939602e-04,1.359933056922109826e-05
9.649122807017543281e-04,1.359933056922109826e-05
9.674185463659148044e-04,1.359933056922109826e-05
9.699248120300751723e-04,1.359933056922109826e-05
9.724310776942355402e-04,1.359933056922109826e-05
9.749373433583960165e-04,1.359933056922109826e-05
9.774436090225562760e-04,1.359933056922109826e-05
9.799498746867168607e-04,1.359933056922109826e-05
9.824561403508772287e-04,1.359933056922109826e-05
9.849624060150375966e-04,1.359933056922109826e-05
9.874686716791979645e-04,1.359933056922109826e-05
9.899749373433583324e-04,1.359933056922109826e-05
9.924812030075187003e-04,1.359933056922109826e-05
9.949874686716790682e-04,1.359933056922109826e-05
9.974937343358396529e-04,1.359933056922109826e-05
1.000000000000000021e-03,1.359933056922109826e-05
